,loc_id,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,3.0,33.0,6.496270471109881,5.386354326077823,4.491277345309883,4.195326843276325,4.311193205343115,4.3920097890469,4.5406987641205445,5.835956219527809,6.2330164619405615,7.258596377816677,10.127279278724911,12.64656098750139,15.293243778056068,18.719284911339866,23.127372689246,25.855577404683626,30.50222332062949,32.85679115506588,35.501991305382305,35.88267336441251,34.92919179240495,33.14137385414585,32.653330981602096,31.99791056546908,32.0952888141974,31.499633717890557,30.970072566166248,30.349268238849703,30.730275837766218,31.64796204537445,31.898002054016874,32.403974287783235,32.5574127653435,32.68466084142331,32.75698994573536,31.891831472900943,29.663357539398277,27.878764073506268,27.17440831654496,26.51276384269785,25.981404941269446,27.30171388899718,27.562358417731833,26.77082974400219,25.655197319110577,24.280210503074258,21.86167805987274,18.153676074986585,15.084715519064133,12.707912493268559,9.91374988465704,8.082132924245453,8.757185011680926
1,1,3.0,33.5,5.9363450065536405,5.001423737290798,4.351114174631544,4.126697437047863,4.357923523299098,4.347285568781056,4.492102213917032,5.6471906279787785,5.996664973139811,6.827491381831677,9.395306395538505,11.735061882220954,14.020160153341095,16.984331613621432,20.96826020912405,23.550414506192784,28.633854696062567,31.28232081001637,33.9799740930186,34.81899458039011,34.35990700126594,32.82015023750901,32.70876235684678,32.52921842901179,32.9853891282073,32.82127976679749,32.007028122904906,31.542932816014385,31.925788811805305,32.35050503114943,31.865222572969834,31.79079261538841,31.126345330207123,30.465425123260935,29.83077341028837,28.597843198531855,25.986709965133727,23.920416620200275,22.90358915604438,22.314347249394874,21.413803094489268,22.22711926432606,22.362217822132525,21.442463676395146,20.623146712904695,19.367365418266953,17.502187163826772,14.7299688359845,12.448713036808483,10.857615080811795,8.565794305327685,7.309535679305762,7.776156807787593
2,2,3.0,34.0,5.705140975971224,4.825652834803028,4.369239224202308,4.15621698107596,4.406651816968625,4.37796861197646,4.4759459542966376,5.379968234087597,5.834427410485842,6.4790860455084704,8.895591084800405,10.976500333399807,13.097616578656531,15.59371292805157,19.296520201993715,21.480570787209412,26.40471025088468,28.89567578118118,31.200602787525636,31.890738494796516,30.866174109406604,29.07418576266319,28.94597155757471,28.953032019158485,29.9027858086157,30.430622117973847,30.232029901033307,30.324559849958554,31.462319442187653,31.988947500750402,31.42815520864671,31.182395969747933,29.7737309712726,28.28481354021463,26.923314935503097,25.498249758421068,22.3676768686857,19.619617556111894,18.0513144608488,17.444999352889873,16.454857909779193,17.19946077899877,17.683692239510567,17.20553589989549,16.9174319768057,16.133933737770512,14.850938832394643,12.76979893731963,11.016593693329217,10.00988060314212,7.93365223146677,6.95293597387431,7.0667965176838585
3,3,3.0,34.5,5.552321142251789,4.651555994284736,4.337227011502722,4.0488949439679995,4.2206150093475525,4.24933322715749,4.170754143749678,4.781690847205012,5.279635730540175,5.80731052159317,8.06484633128822,9.97500808374537,12.083815445508664,14.34119586904678,17.855343827847076,19.61984581568343,24.062457972472686,26.023702177718018,27.665246201305948,27.89900072582097,25.91143686545706,23.597497781151368,23.23307511291072,23.100980291941788,24.222578055707345,25.24125081263857,25.800737651242237,26.161299386390038,27.907673271592074,28.699117153525737,28.167796982931108,27.596296710323205,25.58042648063576,23.619568984266607,21.825595769002337,20.62659840917592,17.627743608665714,14.742421749179474,13.047242643059441,12.561917719322084,11.98854133203579,13.233999065572672,14.329744118208014,14.685333890668467,15.054622705234545,14.826756929168656,13.979607282626821,12.252539549807107,10.679615368471831,9.910970843457376,7.83511720836526,6.741758216903587,6.748187202611121
4,4,3.0,35.0,4.785718691011812,4.022835434901893,3.858377060889794,3.5284565384742312,3.6575104846262434,3.682100499220886,3.437612872464157,3.893934382612718,4.296753864268379,4.768241537003056,6.512494073575663,8.26929669972787,10.098518300051698,11.871159551907331,14.933768306360369,16.26284442240345,19.808890585688605,21.215962146175354,22.144918978104176,21.70571347593573,19.38067623561501,17.06952114457441,16.64788044186704,16.57353387125107,17.40609985129208,18.053085504741553,18.81736722713456,18.81561586126743,20.04624493575482,20.68772429236823,20.18296961803181,19.04950284661798,16.980723256958775,15.217008151770521,13.501143162403888,12.68156638386691,10.522292974082932,8.489898800048671,7.310129909967546,6.963773693913091,6.7952903159710205,8.161393606954286,9.504518356481809,10.363839221615075,11.223620467638789,11.410758476964293,11.188587187649338,10.089723202305011,8.879387553999031,8.380777055844371,6.66211446367944,5.763618918301847,5.807132513107418
5,5,3.0,35.5,3.063725069922075,2.560404199656718,2.509227524571344,2.211060712825113,2.284471304258345,2.3025965457940134,2.1151470932725465,2.355153240001686,2.551943021769799,2.835018354314716,4.074848863765062,5.206912099259925,6.522517948345281,7.58131916009103,9.694223317184814,10.513083486050894,12.562432300040006,13.373074756128766,13.54180441096966,12.536628556389283,10.62962628735126,8.744343625976358,8.05305439885483,7.722773415036666,7.6410578553365704,7.114853739797074,7.162627833980666,6.706843112473371,6.677169190291787,6.977203753467107,7.207666536690306,6.758042111814071,5.85917977144023,5.258221408200779,4.593658322266354,4.357674181415065,3.553294764170497,2.7742868819671567,2.337617950163533,2.1938862030277115,2.3227968444717786,3.2923088803782927,4.522805601470043,5.330813166565506,6.224312324848711,6.6941738618622875,7.051069782142362,6.5520335103267,5.719118554131548,5.42935836242756,4.2247886873796725,3.637382461261962,3.673471875526887
6,6,3.0,36.0,4.706911290192997,4.099739677946394,4.09428952148996,3.675689781384254,3.6743730151740093,3.752295944613166,3.480591990252389,3.7494214483164803,3.802478050226298,4.053379867628885,5.959831478903885,7.852260729537481,9.850189423901618,11.501430533134608,14.250510099111988,15.132723696258106,17.44781651448139,18.56086534943778,18.431070114013114,17.099507289810177,14.397049087576265,11.6306269820571,9.864580006030398,8.566139352788133,7.707879308532836,6.938615367974269,6.45206884598037,5.956174605104925,5.649260255006493,5.641849842527353,5.6904386425475755,5.48328245782454,4.701455531338225,4.18804801607609,3.729871317503594,3.755982218212753,3.1121135698332116,2.5416615840977705,2.2936335980985816,2.2568157626665784,2.4331987439513667,3.7266802316790995,4.935200639548893,6.226723484017796,7.356108550403457,8.334722745466228,9.179624166094836,8.569627025896859,7.543833294320278,7.6501703539105765,6.072991535516832,5.4745838701809255,6.185245241560921
7,7,3.0,36.5,3.366377245826316,2.940005230956421,3.26437452462998,2.900439889257705,2.959833233820972,2.868697206891165,2.730578848557596,2.9532659718493157,3.1088759014169494,3.1551805352722457,4.860054239435524,5.751041644171867,7.072776692324735,8.08661413375341,9.705333533094768,10.113499180283956,11.855769032299149,12.771186861524166,13.024826198261962,11.862629345465324,9.662198268806298,7.947960132969217,7.1541356379468795,6.732768137699434,6.316759076064127,5.694784842594174,5.802361382356065,5.4707128639802445,5.321499742961884,5.737721809772318,5.872846540166908,5.4467009093614545,4.729745613937683,4.115356625809663,3.8620138155769053,3.8641594716866896,3.1620173623233483,2.356379743724533,1.9706563912301251,1.7842530721680876,1.8604981447000417,2.5830855524072196,3.3938816358040538,3.740415797647504,4.424676794506872,4.728499044994953,5.290126641432704,5.131785682291083,4.781564650438853,4.910075355662197,3.983053480317443,3.9519134869639254,4.4637079124972345
8,8,3.0,37.0,2.1916186333640577,1.888835918291153,2.2169814319874797,1.8968199554432201,1.8667862313014576,1.746346541170677,1.7151215227360324,1.8718741496035074,2.0443013905234553,2.025628763566752,3.1715854777815826,3.653376256480536,4.437528928521661,5.133918311336353,6.068344804676018,6.302416360182259,7.288050584577105,7.41993415877683,7.160189344706781,6.26208193336508,4.900191583386412,3.893221227991488,3.43594260624766,3.0498760777636478,2.7665731199488857,2.3956008377082196,2.360396575220087,2.23299213544887,2.2137375646721127,2.412279367132906,2.6179314929606057,2.3856760140092805,2.0137111010294957,1.703216098241551,1.575734102969989,1.5130742595973725,1.268508610237446,0.9361535846650684,0.7811114788117863,0.7376106786243454,1.0711847536020886,1.4608066968750335,2.1396763480049517,2.4591819791345615,3.0588582024745263,3.1683046838270728,3.5500128741154273,3.4805902228212746,3.2548298485296066,3.180339286864249,2.6523811316504506,2.5503032477009353,3.0599286403156287
9,9,3.0,37.5,4.1647796571142175,3.4413687602097336,3.661588504388439,3.125823449521079,2.9064529901983183,2.685776331833573,2.6660281708798133,2.8299432984157726,3.2572197442540887,3.4400592775095284,4.95298939828586,6.2214921780917205,7.646314051534919,9.051190971172538,10.786497517111252,11.354442026501353,12.441808571120946,11.53794495082752,10.380732434574787,8.676794964386016,6.711596055791306,5.08288277212639,4.050246622035187,3.0985950914230123,2.5161537395925366,1.963129425468109,1.6833502453464861,1.4458286364544923,1.3495588639806677,1.3907977166567524,1.4729762426304884,1.360108237030532,1.122712160793943,0.8928979437421406,0.8117904378411643,0.7413583830021006,0.6537356507350415,0.5257475532960051,0.5226095951333944,0.6529478491918523,1.7162699256155818,2.81031131280005,4.130924625146416,5.355952469762967,6.914515245918029,7.31377289418643,8.060126097638404,7.764641250798931,7.208167755546489,6.795784747533257,5.658211468610327,5.011002549736039,5.382028376563164
